station,Name,lon,lat,airstn,population_type,country code,elev (m),elevg (m),grveg,iloc,population (1000s),itowndis,label,popnl,stloc,stveg,topo
42071000,AMRITSAR,74.87,31.63,x,U,207,234,217,WARM IRRIGATED,,458,,AMRITSAR,Urban,no,xx,FL
42083000,SHIMLA,77.17,31.1,x,U,207,2202,1624,WARM FIELD WOODS,,70,,SHIMLA,Urban,no,xx,MV
42099001,LUDHIANA,75.9,30.9,x,U,207,247,137,WARM IRRIGATED,,401,,LUDHIANA,Urban,no,xx,FL
55228000,SHIQUANHE,80.08,32.5,x,R,205,4279,4597,WARM DECIDUOUS,,,,SHIQUANHE,Rural,no,xx,MV
