19721030,19721105,0
19721106,19721112,0
19721113,19721119,1
19721120,19721126,1
19721127,19721203,1
19721204,19721210,1
19721211,19721217,1
19721218,19721224,1
19721225,19721231,1
19730101,19730107,0
19730108,19730114,1
19730115,19730121,1
19730122,19730128,1
19730129,19730204,1
19730205,19730211,1
19730212,19730218,0
19730219,19730225,1
19730226,19730304,1
19730305,19730311,1
19730312,19730318,1
19730319,19730325,0
19730326,19730401,0
19730402,19730408,0
19730409,19730415,0
19730416,19730422,1
19730423,19730429,0
19730430,19730506,0
19730507,19730513,0
19730514,19730520,1
19730521,19730527,0
19730528,19730603,0
19730604,19730610,1
19730611,19730617,1
19730618,19730624,0
19730625,19730701,0
19730702,19730708,0
19730709,19730715,0
19730716,19730722,0
19730723,19730729,1
19730730,19730805,0
19730806,19730812,1
19730813,19730819,0
19730820,19730826,1
19730827,19730902,0
19730903,19730909,0
19730910,19730916,0
19730917,19730923,0
19730924,19730930,1
19731001,19731007,0
19731008,19731014,0
19731015,19731021,1
19731022,19731028,1
19731029,19731104,1
19731105,19731111,1
19731112,19731118,1
19731119,19731125,1
19731126,19731202,1
19731203,19731209,1
19731210,19731216,1
19731217,19731223,1
19731224,19731230,1
19731231,19740106,1
19740107,19740113,1
19740114,19740120,1
19740121,19740127,1
19740128,19740203,1
19740204,19740210,1
19740211,19740217,1
19740218,19740224,1
19740225,19740303,1
19740304,19740310,1
19740311,19740317,1
19740318,19740324,1
19740325,19740331,1
19740401,19740407,1
19740408,19740414,1
19740415,19740421,1
19740422,19740428,1
19740429,19740505,1
19740506,19740512,1
19740513,19740519,1
19740520,19740526,1
19740527,19740602,1
19740603,19740609,1
19740610,19740616,1
19740617,19740623,1
19740624,19740630,0
19740701,19740707,1
19740708,19740714,1
19740715,19740721,1
19740722,19740728,1
19740729,19740804,1
19740805,19740811,1
19740812,19740818,1
19740819,19740825,1
19740826,19740901,1
19740902,19740908,0
19740909,19740915,0
19740916,19740922,1
19740923,19740929,1
19740930,19741006,0
19741007,19741013,0
19741014,19741020,1
19741021,19741027,1
19741028,19741103,0
19741104,19741110,0
19741111,19741117,1
19741118,19741124,1
19741125,19741201,1
19741202,19741208,1
19741209,19741215,1
19741216,19741222,0
19741223,19741229,0
19741230,19750105,1
19750106,19750112,1
19750113,19750119,1
19750120,19750126,1
19750127,19750202,1
19750203,19750209,1
19750210,19750216,1
19750217,19750223,1
19750224,19750302,1
19750303,19750309,1
19750310,19750316,1
19750317,19750323,1
19750324,19750330,1
19750331,19750406,1
19750407,19750413,1
19750414,19750420,1
19750421,19750427,1
19750428,19750504,1
19750505,19750511,1
19750512,19750518,0
19750519,19750525,1
19750526,19750601,1
19750602,19750608,1
19750609,19750615,1
19750616,19750622,1
19750623,19750629,1
19750630,19750706,1
19750707,19750713,1
19750714,19750720,1
19750721,19750727,1
19750728,19750803,1
19750804,19750810,1
19750811,19750817,1
19750818,19750824,1
19750825,19750831,1
19750901,19750907,1
19750908,19750914,1
19750915,19750921,1
19750922,19750928,1
19750929,19751005,1
19751006,19751012,1
19751013,19751019,1
19751020,19751026,0
19751027,19751102,0
19751103,19751109,0
19751110,19751116,0
19751117,19751123,0
19751124,19751130,0
19751201,19751207,1
19751208,19751214,1
19751215,19751221,1
19751222,19751228,0
19751229,19760104,0
19760105,19760111,1
19760112,19760118,1
19760119,19760125,0
19760126,19760201,1
19760202,19760208,1
19760209,19760215,1
19760216,19760222,1
19760223,19760229,1
19760301,19760307,1
19760308,19760314,1
19760315,19760321,1
19760322,19760328,1
19760329,19760404,0
19760405,19760411,1
19760412,19760418,0
19760419,19760425,1
19760426,19760502,1
19760503,19760509,1
19760510,19760516,1
19760517,19760523,1
19760524,19760530,1
19760531,19760606,1
19760607,19760613,1
19760614,19760620,1
19760621,19760627,1
19760628,19760704,1
19760705,19760711,1
19760712,19760718,1
19760719,19760725,0
19760726,19760801,0
19760802,19760808,0
19760809,19760815,0
19760816,19760822,0
19760823,19760829,1
19760830,19760905,0
19760906,19760912,0
19760913,19760919,0
19760920,19760926,0
19760927,19761003,1
19761004,19761010,0
19761011,19761017,1
19761018,19761024,1
19761025,19761031,1
19761101,19761107,0
19761108,19761114,1
19761115,19761121,0
19761122,19761128,0
19761129,19761205,0
19761206,19761212,1
19761213,19761219,1
19761220,19761226,1
19761227,19770102,1
19770103,19770109,1
19770110,19770116,1
19770117,19770123,1
19770124,19770130,1
19770131,19770206,1
19770207,19770213,0
19770214,19770220,0
19770221,19770227,1
19770228,19770306,0
19770307,19770313,1
19770314,19770320,1
19770321,19770327,1
19770328,19770403,1
19770404,19770410,1
19770411,19770417,1
19770418,19770424,1
19770425,19770501,1
19770502,19770508,1
19770509,19770515,1
19770516,19770522,1
19770523,19770529,1
19770530,19770605,1
19770606,19770612,1
19770613,19770619,1
19770620,19770626,1
19770627,19770703,1
19770704,19770710,1
19770711,19770717,1
19770718,19770724,1
19770725,19770731,1
19770801,19770807,1
19770808,19770814,1
19770815,19770821,1
19770822,19770828,1
19770829,19770904,1
19770905,19770911,1
19770912,19770918,1
19770919,19770925,1
19770926,19771002,1
19771003,19771009,1
19771010,19771016,1
19771017,19771023,1
19771024,19771030,1
19771031,19771106,1
19771107,19771113,1
19771114,19771120,1
19771121,19771127,1
19771128,19771204,1
19771205,19771211,1
19771212,19771218,1
19771219,19771225,1
19771226,19780101,1
19780102,19780108,1
19780109,19780115,1
19780116,19780122,1
19780123,19780129,1
19780130,19780205,1
19780206,19780212,1
19780213,19780219,1
19780220,19780226,1
19780227,19780305,1
19780306,19780312,1
19780313,19780319,1
19780320,19780326,1
19780327,19780402,1
19780403,19780409,1
19780410,19780416,1
19780417,19780423,1
19780424,19780430,1
19780501,19780507,1
19780508,19780514,1
19780515,19780521,1
19780522,19780528,1
19780529,19780604,1
19780605,19780611,1
19780612,19780618,1
19780619,19780625,1
19780626,19780702,1
19780703,19780709,1
19780710,19780716,1
19780717,19780723,1
19780724,19780730,1
19780731,19780806,1
19780807,19780813,0
19780814,19780820,0
19780821,19780827,0
19780828,19780903,1
19780904,19780910,1
19780911,19780917,1
19780918,19780924,1
19780925,19781001,1
19781002,19781008,1
19781009,19781015,0
19781016,19781022,1
19781023,19781029,0
19781030,19781105,1
19781106,19781112,1
19781113,19781119,1
19781120,19781126,1
19781127,19781203,1
19781204,19781210,1
19781211,19781217,1
19781218,19781224,1
19781225,19781231,1
19790101,19790107,1
19790108,19790114,1
19790115,19790121,1
19790122,19790128,1
19790129,19790204,1
19790205,19790211,1
19790212,19790218,1
19790219,19790225,1
19790226,19790304,1
19790305,19790311,1
19790312,19790318,1
19790319,19790325,1
19790326,19790401,1
19790402,19790408,1
19790409,19790415,1
19790416,19790422,1
19790423,19790429,1
19790430,19790506,1
19790507,19790513,1
19790514,19790520,1
19790521,19790527,1
19790528,19790603,1
19790604,19790610,1
19790611,19790617,1
19790618,19790624,1
19790625,19790701,1
19790702,19790708,1
19790709,19790715,1
19790716,19790722,1
19790723,19790729,1
19790730,19790805,1
19790806,19790812,1
19790813,19790819,1
19790820,19790826,1
19790827,19790902,1
19790903,19790909,1
19790910,19790916,1
19790917,19790923,1
19790924,19790930,1
19791001,19791007,1
19791008,19791014,1
19791015,19791021,1
19791022,19791028,1
19791029,19791104,1
19791105,19791111,1
19791112,19791118,1
19791119,19791125,1
19791126,19791202,1
19791203,19791209,1
19791210,19791216,1
19791217,19791223,1
19791224,19791230,1
19791231,19800106,1
19800107,19800113,1
19800114,19800120,1
19800121,19800127,1
19800128,19800203,1
19800204,19800210,0
19800211,19800217,0
19800218,19800224,1
19800225,19800302,0
19800303,19800309,0
19800310,19800316,0
19800317,19800323,1
19800324,19800330,1
19800331,19800406,1
19800407,19800413,1
19800414,19800420,1
19800421,19800427,1
19800428,19800504,1
19800505,19800511,0
19800512,19800518,0
19800519,19800525,1
19800526,19800601,1
